Winner,Loser
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/32331dasd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FUcqvJFWQAE7-KM.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/32331dasd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf542.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gf45tasd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FlA1dumWIAAT_HW.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asddsad45512.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gfdg552.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FaPUgTlXkAMX88p.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FlA1dumWIAAT_HW.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ggfg34.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfhgf.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/E-EyrmjVEAMxsYF.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FRJgy5yXwAIezOF.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/sdsdf642.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd asd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asf561wd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gfs4tef.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgdfgas.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gfdgfd3rfa.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/AFAFASDFDS.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FUcqvJFWQAE7-KM.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/4tfdasdf sa.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/6trfd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asda_expression.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfhgfrvc.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FaPUgTlXkAMX88p.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FNXUrnbXIAMtRs0.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FUC9TuZWYAQA5OK.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfhgf.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfh566ws.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/aasdfasdf31324.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ddasdg24gd.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf6j56.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/GGGF$RT.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/fdsfsdsdfs.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FY3wFq4XwAAQSyr.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/dasd4rfsa.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/dasd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf41w.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd4123s.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd4ewsfasd a asd .jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hg64wfa.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdd33fa.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FOZ8o7hWUAkyQs8.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FUcqvKFXoAEOSEP.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd t4123 sd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gvefvd sd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfs 6e2.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdd33fa.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/vvfrf56zss43.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FQqPpuPWUAoYA0U.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd4123s.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd 4we asd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfasf23123w.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hbdr3d.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfd654ewfd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fe5Xzz0XoBIgakz.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/fdsfsdsdfs.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/a a asd asd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hbv531sd.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfs 6e2.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfaf421.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/AFAFASDFDS.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fcu6vYVWIAAXn2I.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/5zgdsyv.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/dsds344q.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd t4123 sd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ggfg34.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FWIE_NEXEAEpv9g.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fe5Xzz2WYAAWHQx.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fb7CBBLXkAEXVdT.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/GGGF$RT.jfif,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/th.jpg
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asda_expression.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgf562wd.jfif
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/E-EyrmjVEAMxsYF.jpg,C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/d3qwe.jpg
