Image,ELO,Uncertainty,Upvotes,Downvotes
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/32331dasd.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ggfg34.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/E-EyrmjVEAMxsYF.jpg,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asda_expression.jpg,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/GGGF$RT.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd4123s.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FaPUgTlXkAMX88p.jpg,6.22,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/dsds344q.jpg,5.99,6.87,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hbv531sd.jfif,5.69,6.9,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfaf421.jfif,5.69,6.9,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gf45tasd.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asddsad45512.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/sdsdf642.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asf561wd.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgdfgas.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/4tfdasdf sa.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfh566ws.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ddasdg24gd.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FY3wFq4XwAAQSyr.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/dasd.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hg64wfa.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FOZ8o7hWUAkyQs8.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/vvfrf56zss43.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfasf23123w.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfd654ewfd.jfif,4.39,7.17,1,0
